Symbol,Company_Name,Sector,Data_Exising,History_Existing
AMPL,Amplitude Inc. Class A Common Stock,Technology,True,756.0
AMPS,Altus Power Inc. Class A Common Stock,Utilities,True,922.0
AMPY,Amplify Energy Corp. Common Stock,Energy,True,3131.0
AMR,Alpha Metallurgical Resources Inc. Common Stock,Energy,True,917.0
AMRC,Ameresco Inc. Class A Common Stock,Consumer Discretionary,True,3572.0
AMRK,A-Mark Precious Metals Inc. Common Stock,Industrials,True,2654.0
AMRN,Amarin Corporation plc,Health Care,True,6225.0
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,Health Care,True,1611.0
AMS,American Shared Hospital Services Common Stock,Health Care,True,6225.0
AMSC,American Superconductor Corporation Common Stock,Consumer Discretionary,True,6225.0
AMSF,AMERISAFE Inc. Common Stock,Finance,True,4746.0
AMST,Amesite Inc. Common Stock,Technology,True,1009.0
AMT,American Tower Corporation (REIT) Common Stock,Real Estate,True,6225.0
AMTB,Amerant Bancorp Inc. Class A Common Stock,Finance,True,1496.0
AMTD,AMTD IDEA Group American Depositary Shares each representing six (6) Class A Ordinary Shares,Finance,True,1298.0
AMTX,Aemetis Inc. (DE) Common Stock,Industrials,True,4596.0
AMWD,American Woodmark Corporation Common Stock,Basic Materials,True,6225.0
AMWL,American Well Corporation Class A Common Stock,Consumer Discretionary,True,1015.0
AMX,America Movil S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares,Telecommunications,True,5945.0
AMZN,Amazon.com Inc. Common Stock,Consumer Discretionary,True,6225.0
AN,AutoNation Inc. Common Stock,Consumer Discretionary,True,6225.0
ANAB,AnaptysBio Inc. Common Stock,Health Care,True,1932.0
ANDE,Andersons Inc. (The) Common Stock,Industrials,True,6225.0
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,Health Care,True,855.0
ANET,Arista Networks Inc. Common Stock,Telecommunications,True,2597.0
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,True,6225.0
ANGH,Anghami Inc. Ordinary Shares,Consumer Discretionary,True,1033.0
ANGI,Angi Inc. Class A Common Stock,Consumer Discretionary,True,3236.0
ANGO,AngioDynamics Inc. Common Stock,Health Care,True,5118.0
ANIK,Anika Therapeutics Inc. Common Stock,Health Care,True,6225.0
ANIP,ANI Pharmaceuticals Inc.,Health Care,True,6139.0
